Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_35.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_C1.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_MTX.wiff
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	138.095	146.465	184.667
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	54.3106	57.6897	41.9169
O00505;O00629	O00629;O00505	IMA3_HUMAN;IMA4_HUMAN	KPNA3;KPNA4	Importin subunit alpha-4	69.4022	57.1766	34.9721
O00515	O00515	LAD1_HUMAN	LAD1	Ladinin-1	14.3647	8.39493	10.5703
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog	45.577	33.6779	47.1089
O00560	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	20.2123	14.0203	16.3095
O00571	O15523;O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	187.747	176.43	178.452
O00571;P17844;Q92841	Q92841;P17844;O15523;O00571	DDX17_HUMAN;DDX3X_HUMAN;DDX5_HUMAN	DDX17;DDX3X;DDX5	ATP-dependent RNA helicase DDX3X	482.929	419.081	495.644
O00592	O00592	PODXL_HUMAN	PODXL	Podocalyxin	35.9606	39.4907	35.793
O00625	O00625	PIR_HUMAN	PIR	Pirin	12.491	23.8653	23.0816
O00629	O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3			14.428
O00712;P08651;Q12857;Q14938	P08651;Q12857;Q14938;O00712	NFIA_HUMAN;NFIB_HUMAN;NFIC_HUMAN;NFIX_HUMAN	NFIA;NFIB;NFIC;NFIX	Nuclear factor 1 B-type	22.8908	21.5134	
O00743	O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	26.8702	27.814	26.7626
O00764	O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	47.9856	44.9755	39.3575
O00767	O00767	SCD_HUMAN	SCD	Stearoyl-CoA desaturase	113.801	95.6746	96.6311
O14493	O95484;O14493;P56747;O15551	CLD4_HUMAN	CLDN4	Claudin-4	60.5912	55.8148	21.2618
O14497	O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	25.1865	9.44509	17.1052
O14562	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	59.0976	54.4132	57.9188
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	27.6832	19.4004	20.5257
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	44.1255	35.3354	34.0308
O14618	O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase		32.6413	7.43108
O14641	O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	9.36985	16.2759	27.2354
O14646;O14647	Q8TD26;Q3L8U1;O14646;Q9P2D1;O14647;Q9HCK8	CHD1_HUMAN;CHD2_HUMAN	CHD1;CHD2	Chromodomain-helicase-DNA-binding protein 1		10.9595	10.1313
O14672	O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	10.3627	23.9861	31.9792
O14681	O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog	9.57969	21.1887	38.0715
O14686	O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	21.2155		18.9997
O14735	O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	37.0074	32.9302	31.8573
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	113.298	133.225	119.395
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	173.582	162.963	161.973
O14745	O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	110.998	105.269	127.987
O14757	O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	18.1408	18.7932	18.3387
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	24.8278	9.65659	16.6011
O14776	O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	53.2975	56.353	54.1713
O14787	O14787	TNPO2_HUMAN	TNPO2	Transportin-2			17.2953
O14787;Q92973	O14787;Q92973	TNPO1_HUMAN;TNPO2_HUMAN	TNPO1;TNPO2	Transportin-2	51.4684	50.7579	41.3779
O14802	O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1			15.5511
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	292.24	318.818	280.827
O14828	O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	39.6361	29.1373	33.5831
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	20.2946	28.2764	15.6879
O14907	O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	15.5186	11.6294	14.4557
O14908	O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1			10.4844
O14925	O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	48.3832	34.5975	48.7169
O14929	O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	104.849	122.077	101.05
O14944	O14944	EREG_HUMAN	EREG	Proepiregulin	32.6641	31.5461	19.1768
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	25.1502	32.6139	63.6478
O14950;P19105	O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	291.17	289.783	298.512
O14957	O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	17.8485	24.101	19.8466
O14964	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	47.5237	46.4384	71.9537
O14974	O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	41.3266	43.2597	41.2413
O14975	O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase			14.5918
O14976	O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	20.6988	25.6521	29.5889
O14979	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	35.2416	41.578	38.7908
O14979;Q14103	O14979;Q14103	HNRDL_HUMAN;HNRPD_HUMAN	HNRNPD;HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	30.3441	41.9981	94.9341
O14979;Q99729	O14979;Q99729	HNRDL_HUMAN;ROAA_HUMAN	HNRNPAB;HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like		205.713	142.83
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1	108.41	102.037	106.438
O14981	O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	13.3089		1.52121
O15027	O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A			11.5352
O15031	O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	18.8985	12.2053	27.3618
O15042	O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	32.7633	27.0831	30.1109
O15067	O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	66.5149	74.4475	72.476
O15084	O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A			3.4747
O15091	O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	10.3678		15.016
O15111	O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha			21.6
O15116	O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1			16.2962
O15126	O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	26.0048	18.3559	21.1413
O15127	O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	3.33443		7.18296
O15143	O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	73.8198	67.2081	60.9293
O15144	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	75.7092	91.3171	66.1448
O15145	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	102.724	118.007	115.928
O15160	O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	84.8229	90.7173	87.842
O15162	O15162	PLS1_HUMAN	PLSCR1	Phospholipid scramblase 1	9.03126	5.76904	
O15173	O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	40.3268	46.5489	49.3337
O15198;P84022;Q15796	O15198;Q15796;P84022	SMAD2_HUMAN;SMAD3_HUMAN;SMAD9_HUMAN	SMAD2;SMAD3;SMAD9	Mothers against decapentaplegic homolog 9	54.191	53.6973	51.8241
O15198;P84022;Q15796;Q15797;Q99717	O15198;Q15797;Q99717;Q15796;P84022	SMAD1_HUMAN;SMAD2_HUMAN;SMAD3_HUMAN;SMAD5_HUMAN;SMAD9_HUMAN	SMAD1;SMAD2;SMAD3;SMAD5;SMAD9	Mothers against decapentaplegic homolog 9	32.7328	39.7338	34.1652
O15235	O15235	RT12_HUMAN	MRPS12	28S ribosomal protein S12, mitochondrial	16.0848		23.748
O15258	O15258	RER1_HUMAN	RER1	Protein RER1	73.7742	59.7925	53.5931
O15260	O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	144.915	125.317	130.608
O15264	O15264	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	11.7736		6.94161
O15264;P45983;Q16539	Q15759;P45984;P53778;P53779;Q16539;P45983;O15264	MK08_HUMAN;MK13_HUMAN;MK14_HUMAN	MAPK13;MAPK14;MAPK8	Mitogen-activated protein kinase 13	29.5075	23.2074	
O15269	O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	22.8776	25.3039	32.5277
O15270	O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	18.281	18.1781	13.5489
O15294	O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	22.95	18.484	26.3614
O15305	O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	36.4056	29.4637	36.726
O15327	O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II			7.16274
O15347	O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	198.051	190.334	189.141
O15355	O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	121.322	132.681	149.985
O15371	O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	142.228	145.521	140.831
O15372	O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	145.149	126.494	109.179
O15382	O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	24.4371		26.7423
O15397	O15397	IPO8_HUMAN	IPO8	Importin-8	16.0352	18.5447	15.1155
O15400	O15400	STX7_HUMAN	STX7	Syntaxin-7	17.7271	19.7432	26.3475
O15405;O94842;Q96NM4	Q96NM4;O94842;O15405	TOX2_HUMAN;TOX3_HUMAN;TOX4_HUMAN	TOX2;TOX3;TOX4	TOX high mobility group box family member 3		12.7689	
O15427	O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	187.347	177.503	150.126
O15439	O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4	12.2162	19.5975	
O15446	O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	19.7555	24.8129	18.4362
O15460	O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	15.9317		18.8356
O15479	O15479	MAGB2_HUMAN	MAGEB2	Melanoma-associated antigen B2	109.973	107.846	120.064
O15498	O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	33.4028	36.8445	30.9631
O15511	O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	53.3289	40.7932	45.0108
O15511;Q9BPX5	Q9BPX5;O15511	ARP5L_HUMAN;ARPC5_HUMAN	ARPC5;ARPC5L	Actin-related protein 2/3 complex subunit 5	10.4724		
O15522;O95096	O15522;O95096	NKX22_HUMAN;NKX28_HUMAN	NKX2-2;NKX2-8	Homeobox protein Nkx-2.8			29.362
O43143	O43143	DHX15_HUMAN	DHX15	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	123.59	130.309	119.762
O43143;O60231	Q14562;O43143;O60231	DHX15_HUMAN;DHX16_HUMAN	DHX15;DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	99.4559	87.4019	78.6534
O43148	O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	40.8728	46.7204	46.3204
O43156	O43156	TTI1_HUMAN	TTI1	TELO2-interacting protein 1 homolog	26.1744		19.431
O43169	O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	96.973	106.308	124.559
O43172	O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	33.6266	33.8166	37.951
O43175	O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	225.083	210.859	203.151
O43181	O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	17.637		8.51046
O43237	O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	31.9581		14.9568
O43242	O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	162.637	156.46	165.117
O43251;Q9NWB1	O43251;Q9NWB1	RFOX1_HUMAN;RFOX2_HUMAN	RBFOX1;RBFOX2	RNA binding protein fox-1 homolog 2	10.713		
O43252	O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	40.9423	39.9466	42.2582
O43264	O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	11.4415		15.4036
O43278	O43278	SPIT1_HUMAN	SPINT1	Kunitz-type protease inhibitor 1	11.4952		15.6162
O43290	O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	11.0097	25.6022	18.6606
O43291	O43291	SPIT2_HUMAN	SPINT2	Kunitz-type protease inhibitor 2	24.8805	11.9735	33.9629
O43292	O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	27.7521		
O43301	O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A	7.1526		6.80534
O43314	O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	17.2809	5.90579	
O43324	O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	46.8453	50.8108	35.1392
O43390	O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	76.5041	74.8377	66.3758
O43390;O60506	O60506;O43390	HNRPQ_HUMAN;HNRPR_HUMAN	HNRNPR;SYNCRIP	Heterogeneous nuclear ribonucleoprotein R	289.68	303.918	328.469
O43395	O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	20.0312	16.6015	11.2569
O43396	O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	228.688	216.293	209.728
O43399	O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	232.431	206.151	210.288
O43414	O43414	ERI3_HUMAN	ERI3	ERI1 exoribonuclease 3	27.2789	29.8707	21.9401
O43447	O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	56.854	59.7943	61.3151
O43464	P83110;O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	16.074		16.404
O43488	O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	79.9428	56.5413	56.4846
O43491	O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	37.1996	36.7184	41.569
O43583	O43583	DENR_HUMAN	DENR	Density-regulated protein	27.7428		17.6673
O43592	O43592	XPOT_HUMAN	XPOT	Exportin-T	42.6764	37.6559	34.7905
O43598	O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	27.1654	17.4566	29.229
O43615	O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	64.9297	61.1758	59.9409
O43617	O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	28.5271	11.1508	33.6651
O43633	O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	21.1109	30.1451	24.1147
O43660	O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1	17.2853		11.1476
O43665	O43665	RGS10_HUMAN	RGS10	Regulator of G-protein signaling 10	36.1274	33.4186	38.7317
O43670	O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	78.8392	84.0711	74.703
O43674	O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	24.8735		15.1136
O43676	O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	48.3366	36.9706	37.3453
O43678	O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	34.845	21.1639	34.8445
O43681	O43681	GET3_HUMAN	GET3	ATPase GET3	159.036	129.563	114.176
O43684	O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	195.503	202.711	196.212
O43707	O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	196.917	270.731	207.226
O43707;P12814	O43707;P12814	ACTN1_HUMAN;ACTN4_HUMAN	ACTN1;ACTN4	Alpha-actinin-4	343.605	456.223	352.177
O43708	O43708	MAAI_HUMAN	GSTZ1	Maleylacetoacetate isomerase	9.20658	7.6229	6.20936
O43709	O43709	BUD23_HUMAN	BUD23	Probable 18S rRNA (guanine-N(7))-methyltransferase	33.6578	29.5045	14.4197
O43719	O43719	HTSF1_HUMAN	HTATSF1	HIV Tat-specific factor 1	36.0581	34.2237	43.4582
O43747	O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	35.2096	26.6616	30.9148
O43760	O43760	SNG2_HUMAN	SYNGR2	Synaptogyrin-2	106.747	129.405	93.664
O43765	O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	91.9912	91.2386	118.867
O43768	O43768;P56211	ENSA_HUMAN	ENSA	Alpha-endosulfine	54.7842	58.3549	52.0556
O43776	O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	180.151	169.766	185.558
O43795	O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	23.9727	32.6577	25.1006
O43809	O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	105.327	111.17	97.8087
